Youssef Chahed,Chahed,يوسف الشاهد,الشاهد
Manel Amara,منال,عمارة,منال عمارة,manoula
360 Degrés
A.L.A
ATB
Abderrazek Chebbi,عبدالرازق,الشابي  
Afek Tounes,أفاق تونس
Aicha Attia,عائشة,عطية,عائشة عطية
Akrem Mag,اكرم ماغ
Al Massar,المسار
Ala Chebbi,الشابي على
Ala Tarik,على  الطريق 
Amen Bank,أمان بنك
Amine Gara,أمين غارة
Attijari Bank,التجاري بنك
Azza Besbes,عزة بسباس
Balti,بلطي
Banque Centrale
Banque Zitouna
Banque de Tunisie,BT
Banque de l'habitat,بنك الاسكان
Beji Caid Essebsi,باجي قايد السبسي,bajbouj,بجبوج
CA,club,club africain,الافريقي,النادي الافريقي,efriki
CAB,النادي البنزرتي
CSS,النادي السفاقسي
Courant démocrate,التيار الديمقراطي
Dhafer L'Abidine,ضافر العابدين
Dimanche Hannibal 
Dlilek Mlak,دليلك ملك
Dorra Zarrouk,درة زروق
ESS,الساحلي,sahli,etoile
EST,taraji,mkachkha,الترجي,مكشخة
Emel Mathlouthi,امال مثلوثي
Ennahdha,النهضة
Fadhel Moussa,فاضل موسى
Fathi Haddaoui,فتحي هداوي 
Habiba Ghribi,حبيبة,غريبي,حبيبة غريبي
Hamadi Abid,حمادي عبيد 
Hamma Hammami,همامي,حما همامي
Hassen Doss,حسان دوس
Haythem El Mekki,هيثم المكي 
Hend Sabri,هند صبري
Hikayet Tounsia,حكايات تونسية 
Kafon,كافون
Labes,لاباس
Lotfi Abdelli,عبدلي,لطفي عبدلي 
Ma Lam Youkal,ما لم يقل 
Malek Jaziri,جزيري,مالك جزيري
Maya Ksouri,ميا القصوري
Mohamed Ali Nahdi,محمد علي النهدي,dali nahdi,النهدي 
Naoufel Warteni,نوفل ورتاني,نوفل الورتاني,نوفل 
Nidaa Tounes,نداء تونس,النداء
Noureddine Tabboubi,نورالدين طبوبي
Nouvelair
Ons Jabeur,أنس جابر
Ooredoo,اوريدو,tunisiana,تونزيانا
Orange,اورنج
Oumour Jedia,أومور جدية 
Oussama Mellouli,أسامة ملولي
Parti des travailleurs,حزب العمال
Samara,سمارا
Sami Fehri,سامي الفهري 
Sihem Ben Sedrine,بن سدرين,ben sedrin
Slim Riahi,سليم رياحي
Tunisair,الخطوط الجوية,الخطوط الجوية التونسية
Tunisie Telecom,إتصالات تونس,telecom,TT
UBCI
Vitalait 
Wissem Hmem,وسام حمام
Yassine Chikhaoui,ياسين شيخاوي
Youssef Msekni,msekni,يوسف المساكني,المساكني
Zina Gasrinia,zina,زينة قصرينية
